file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
src/main/services/credential-store.test.ts,src/main/services/credential-store.test.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/main/services/credential-store.ts,src/main/services/credential-store.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,1.00,credentials
src/main/services/packaging-config.test.ts,src/main/services/packaging-config.test.ts,2026-03-26T21:32:06+07:00,2026-03-26T21:32:06+07:00,1,1,1,0.00,
src/main/services/protection.test.ts,src/main/services/protection.test.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/main/services/protection.ts,src/main/services/protection.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/main/services/redaction.ts,src/main/services/redaction.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/main/services/scheduler.test.ts,src/main/services/scheduler.test.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/main/services/scheduler.ts,src/main/services/scheduler.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.90,scheduling
src/preload/index.ts,src/preload/index.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,1.00,preload_bridge
src/renderer/index.html,src/renderer/index.html,2026-03-26T18:39:41+07:00,2026-03-26T21:31:44+07:00,2,2,2,0.00,
src/renderer/src/App.test.tsx,src/renderer/src/App.test.tsx,2026-03-26T18:39:41+07:00,2026-03-26T21:31:44+07:00,2,2,2,0.00,
src/renderer/src/App.tsx,src/renderer/src/App.tsx,2026-03-26T18:39:41+07:00,2026-03-26T21:31:44+07:00,2,2,2,0.00,
src/renderer/src/components/ActivityFeed.tsx,src/renderer/src/components/ActivityFeed.tsx,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/renderer/src/components/ConnectionPanel.tsx,src/renderer/src/components/ConnectionPanel.tsx,2026-03-26T18:39:41+07:00,2026-03-26T21:31:44+07:00,2,2,2,0.00,
src/renderer/src/components/HeaderBar.tsx,src/renderer/src/components/HeaderBar.tsx,2026-03-26T18:39:41+07:00,2026-03-26T21:31:44+07:00,2,2,2,0.00,
src/renderer/src/components/MarketPanel.tsx,src/renderer/src/components/MarketPanel.tsx,2026-03-26T18:39:41+07:00,2026-03-26T21:31:44+07:00,2,2,2,0.00,
src/renderer/src/components/OrderTicket.tsx,src/renderer/src/components/OrderTicket.tsx,2026-03-26T18:39:41+07:00,2026-03-26T21:31:44+07:00,2,2,2,0.00,
src/renderer/src/components/PositionProtectionPanel.tsx,src/renderer/src/components/PositionProtectionPanel.tsx,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/renderer/src/components/PositionsPanel.tsx,src/renderer/src/components/PositionsPanel.tsx,2026-03-26T18:39:41+07:00,2026-03-26T21:31:44+07:00,2,2,2,0.00,
src/renderer/src/components/ProtectionStrategyFields.tsx,src/renderer/src/components/ProtectionStrategyFields.tsx,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/renderer/src/components/SchedulePanel.tsx,src/renderer/src/components/SchedulePanel.tsx,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/renderer/src/components/WindowHelpButton.tsx,src/renderer/src/components/WindowHelpButton.tsx,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/renderer/src/lib/formatters.ts,src/renderer/src/lib/formatters.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/renderer/src/lib/protection-form.ts,src/renderer/src/lib/protection-form.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/renderer/src/lib/validation.test.ts,src/renderer/src/lib/validation.test.ts,2026-03-26T18:39:41+07:00,2026-03-26T21:31:44+07:00,2,2,2,0.00,
src/renderer/src/lib/validation.ts,src/renderer/src/lib/validation.ts,2026-03-26T18:39:41+07:00,2026-03-26T21:31:44+07:00,2,2,2,0.00,
src/renderer/src/main.tsx,src/renderer/src/main.tsx,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/renderer/src/styles.css,src/renderer/src/styles.css,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/renderer/src/test/setup.ts,src/renderer/src/test/setup.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/shared/global.d.ts,src/shared/global.d.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/shared/ipc.ts,src/shared/ipc.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/shared/types.ts,src/shared/types.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
tsconfig.json,tsconfig.json,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
vitest.config.ts,vitest.config.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
